id,name,brand,series,model,description,imageUrls,productType,price
"IjWvMA2XtPqKbBZFxS0H","OEM Display Unit + Frame for Huawei P8 black","Huawei","P series","Huawei P8","Info: OEM Display Unit + Frame for Huawei P8 black\n\nSuitable for:\n\nHuawei P8",["https://mpsmobile.de/data/product/images/detail/normal/59A96FF4-986E-7782-A86D-5691214B5874.jpg","https://mpsmobile.de/data/product/images/detail/normal/0A2216E8-932E-C004-6FFB-93CC4FFE9543.jpg"],"LCD Display",6.9
"KvhiMHBxj18OaryHdXPh","OEM Display Unit for Huawei Mate 7 gold","Huawei","Ascend","Huawei Ascend Mate7","Info: OEM Display Unit for Huawei Mate 7 gold\n\nSuitable for:\n\nHuawei Ascend Mate7",["https://mpsmobile.de/data/product/images/detail/small/8F624CF1-BDD3-7926-7076-B788568C894C.jpg","https://mpsmobile.de/data/product/images/detail/small/713D220D-D843-B250-853C-75EC01A91DD5.jpg"],"LCD Display",9.5
"NEzCzZYolDxoWBPnJ0GC","MPS Battery EB-BN950ABE for Samsung N950F Galaxy Note 8","Samsung","Note","Samsung Galaxy Note8","Suitable for:\n\nSamsung Galaxy Note8",["https://mpsmobile.de/data/product/images/detail/normal/607D37D3-906B-6733-A88E-4C21AE24A237.jpg","https://mpsmobile.de/data/product/images/detail/normal/8DFFEB54-BE10-17AB-4692-C00F1FB4A0F6.jpg"],"Batteries",14
"OIMmDYyxtujTC1juOEkA","OEM Display Unit (Wihtout Frame) Huawei Ascend G7 black","Huawei","Ascend","Huawei Ascend G7","Suitable for:\n\nHuawei Ascend G7",["https://mpsmobile.de/data/product/images/detail/normal/CB11B712-B82B-4D9C-D33B-6B9C349A9B80.jpg","https://mpsmobile.de/data/product/images/detail/normal/3236E2E5-7B6E-830E-7E3F-5ACA5655246A.jpg"],"LCD Display",6.9
"OQOuw6Bdim8ptPmsl9Ho","MPS Battery EB-BG955ABE for Samsung Galaxy S8+","Samsung","S series","Samsung Galaxy S8+","Info: MPS Battery EB-BG955ABE for Samsung Galaxy S8+\n\nSuitable for:\n\nSamsung Galaxy S8+",["https://mpsmobile.de/data/product/images/detail/normal/001C9188-98B3-AED3-F853-374710C5A5BE.jpg","https://mpsmobile.de/data/product/images/detail/normal/3D5ED5A0-1C6A-8425-0B00-A1D59E1EC1D4.jpg"],"Batteries",31
"Pu55DmCW6I2zTS0asydj","OEM Display Unit (Wihtout Frame) Huawei Ascend G7 white","Huawei","Ascend","Huawei Ascend G7","Info: OEM Display Unit (Wihtout Frame) Huawei Ascend G7 white\n\nSuitable for:\n\nHuawei Ascend G7",["https://mpsmobile.de/data/product/images/detail/normal/E54CD0CF-3592-57BD-316B-CF1BE5A1D8A6.jpg","https://mpsmobile.de/data/product/images/detail/normal/710CB164-6632-34BE-06A0-B29604A368BD.jpg"],"LCD Display",6.9
"VhpWLevKnekRF8QrXGQf","NEWEST","",["IcCHbiOwEtfjjqB2nDOd"],"","dsnv","","TygXCVWGLNYDYIsM1tSa","99"
"XQ4APhMSn6Qj8wGKjTRu","OEM Display Unit (Wihtout Frame) Huawei Ascend P6 white","Huawei","Ascend","Huawei Ascend P6","Suitable for:\n\nHuawei Ascend P6",["https://mpsmobile.de/data/product/images/detail/small/79B69D78-821A-7D09-BAA5-FFAA6299C446.jpg","https://mpsmobile.de/data/product/images/detail/small/7A244057-9D7B-601B-CD60-3D3013CA4D5C.jpg"],"LCD Display",6.9
"XSyEBTKwB4VsvFjizm7D","OEM Display Unit (Without Frame) Huawei Ascend G6 white","Huawei","Ascend","Huawei Ascend G6","Info: OEM Display Unit (Without Frame) Huawei Ascend G6 white\n\nSuitable for:\n\nHuawei Ascend G6",["https://mpsmobile.de/data/product/images/detail/normal/40448CE7-E856-4D7D-0CD3-95E8E09FC753.jpg","https://mpsmobile.de/data/product/images/detail/normal/77901BCE-ECCF-B004-25EB-C217BC80697D.jpg"],"LCD Display",6.9
"XkJ5QJGvwzmvetKwZQxz","OEM Display Unit + Frame Huawei Ascend G6 black","Huawei","Ascend","Huawei Ascend G6","Info: OEM Display Unit + Frame Huawei Ascend G6 black\n\nSuitable for:\n\nHuawei Ascend G6",["https://mpsmobile.de/data/product/images/detail/normal/11FF40BF-AFE9-ACF8-22DE-833786DD2260.jpg","https://mpsmobile.de/data/product/images/detail/normal/0FD2D5CB-094A-2C07-146D-04F24031CA19.jpg"],"LCD Display",6.9
